group,count,r2,rmse,mse,mae,mape,medae
E2,18,0.9764927111067763,9019.845095703686,81357605.55048984,6046.453568804938,0.12291282816079879,2578.437186878181
C6,33,0.9563125930010635,23102.221326218103,533712630.2055665,10898.624367879635,0.12286267000370517,2190.874855424372
C2,82,0.9258587927127513,11131.39836417315,123908029.54191667,7083.883726472363,0.2508063573377817,3821.3501295822275
B1,381,0.917201841224183,31734.173953327805,1007057796.5000688,15111.955825187524,0.18403234807611424,6603.013743825184
D3,92,0.9060477506070479,12943.271360392571,167528273.50875854,6637.7378157591875,0.28336038617373566,2590.1133906370524
C4,226,0.8923943142939817,16895.847666650712,285469668.3746663,10289.777660420625,0.2248960137730225,4575.497788043984
D2,95,0.8889547013614719,42841.5303081067,1835396719.1404254,16125.785226638929,0.12860231738309433,7428.470554317508
C5,64,0.8750501506758034,13707.830782247502,187904624.75473213,9474.805521935767,0.22577535730565831,6066.173783113022
D1,77,0.8581527380416585,16482.039156295432,271657614.74965584,8858.670034468907,0.2079080049784219,3776.4865414052474
C3,51,0.7783654115491818,17942.72585631534,321941411.15488714,10382.137589340768,0.250167293696014,4182.112929355848
