group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(144964.66, 659186.318]",57,-0.09900237065716788,117491.34749096555,13804216735.242817,85024.0061861408,0.3158739661567696,56013.72647923892
"PREZZO_(16010.974, 29270.221]",57,-4.048072322387498,8877.228746015227,78805190.2090791,6776.791209897951,0.30535779154395426,4888.725611053715
"PREZZO_(3072.2059999999997, 9844.024]",57,-10.66155077855871,6910.901621214711,47760561.21810812,3961.3712794410826,0.6342028369758574,2741.232833210631
"PREZZO_(96088.298, 144964.66]",57,-12.524180401003052,52997.95263142167,2808782983.122415,36196.94330281261,0.3122171337457549,25197.658468236128
"PREZZO_(29270.221, 45000.0]",58,-18.17947151539037,21580.60048272837,465722317.19513583,16152.682172308374,0.44284277408169714,12891.782000993264
"PREZZO_(75306.122, 96088.298]",57,-19.86927026384491,27609.09752515918,762262266.1537509,21889.18961995272,0.25180454147599113,20074.467613342946
"PREZZO_(45000.0, 62232.473]",55,-23.701611585297393,25055.32785372622,627769453.8577089,19475.241298998397,0.36663612343131025,14456.515209807447
"PREZZO_(9844.024, 16010.974]",57,-27.54389018719681,10107.007463493836,102151599.86712009,7011.740834850328,0.5410073631389268,4711.859846219806
"PREZZO_(62232.473, 75306.122]",57,-29.333102216838537,21866.78590113497,478156325.64607495,16508.59283960046,0.2418761849225451,12310.991928379866
PREZZO_nan,57,-150.82940209110436,10089.310519729233,101794186.76351899,1864.7578264944646,1.1342952050132895,335.20242313246035
