group,count,r2,rmse,mse,mae,mape,medae
C2,40,0.8624983661341212,15358.87825293561,235895141.1884984,10787.526976382946,0.29650177226255137,7537.4916061304175
D2,43,0.8024484390659419,30450.045452792165,927205268.0771087,20886.29011098578,0.35228494878271616,12964.101779336517
D3,43,0.7124866375287002,20491.647243451982,419907606.75007325,10670.619628854962,0.49617103739925367,4334.3052300403
C4,132,0.6455819199099188,33316.03347884437,1109958086.763479,19428.604020282783,0.7282453682731679,7725.900811643238
C5,28,0.6279620172342636,22189.212455851735,492361149.41092575,15588.614902960466,0.4170468548102418,11360.099891166832
C3,29,0.5525281728770941,23453.75048273179,550078411.7062417,14823.402969328952,0.32317606719726977,8066.186904609185
C6,17,0.43724080440390567,76984.82170174026,5926662772.448738,34052.38936761563,0.3255281303486674,9031.40360332239
D1,41,0.41295445917786033,36244.07591689556,1313633039.069689,22399.328161657617,0.5375681751020689,12191.872367652273
B1,187,0.4039170258619734,82607.1502738574,6823941276.3676605,43749.95734223415,0.4518518437188771,21057.947891437012
E2,11,-1.2584991512168435,33001.50337504691,1089099225.0132325,27590.626202641903,1.2509429116281707,20103.620188123627
