group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(145000.0, 659186.318]",57,-0.7681449406692937,152809.1745121457,23350643815.0834,116635.18728081445,0.4340465410519502,90006.87899640434
"PREZZO_(16024.692, 30000.0]",61,-5.707617520061775,11670.67300590794,136204608.4108283,8986.166939211224,0.39182278860094943,6057.9465862585785
"PREZZO_(96598.54, 145000.0]",58,-9.278135831109429,47027.907238012456,2211624059.187104,36892.32373733723,0.30258968220620086,30674.349677658924
"PREZZO_(3125.783, 9662.831]",57,-18.3115154970323,8744.493091595217,76466159.42895648,4519.259945210255,0.699018078401423,2944.4872241940593
"PREZZO_(76475.519, 96598.54]",57,-29.54399156574456,32619.879799081384,1064056558.1065177,25039.30247597843,0.2877473573041064,20621.239245559766
"PREZZO_(9662.831, 16024.692]",57,-30.835398454823707,10695.315257088727,114389768.4485149,7160.197336267652,0.550419712228396,4829.858758013061
"PREZZO_(30000.0, 45264.126]",54,-39.83518779950307,29293.970787102906,858136724.4756385,22367.744263714045,0.5975774963667976,17068.34710501822
"PREZZO_(45264.126, 62715.279]",57,-40.34415865339659,31648.101751177637,1001602344.452893,23149.507048350297,0.42593271872348243,17458.951682585954
"PREZZO_(62715.279, 76475.519]",58,-42.370799189643485,26304.351344329156,691918899.6459111,20046.558600901586,0.2895501662414656,18065.981719679763
PREZZO_nan,58,-96.96353182605635,8223.512075691197,67626150.85903893,1910.1850220440497,1.1257202041860632,1065.6171486829398
