group,count,r2,rmse,mse,mae,mape,medae
C6,17,0.9555922358451218,21625.85377274916,467677551.40032905,17563.05072424079,0.49995383956238937,17783.042148784698
C2,40,0.8253298736393069,17310.710192646377,299660687.3737911,11521.346891935853,0.3013862922567346,7186.524101764641
C4,132,0.7925092133791085,25491.46317459002,649814694.7814791,15634.196620092434,0.5777857903835045,6463.282761247564
D2,43,0.7312046484445707,35518.824917603786,1261586923.5273917,23360.998134974492,0.4173431651007053,11840.091976807626
D3,43,0.6388535812797839,22966.21945551006,527447236.07864887,12948.694877333606,0.7552073125663734,6022.4600418280315
C5,28,0.6025541948905646,22934.390703307905,525986276.931976,16180.596204525978,0.4104550545116778,9959.15662923978
D1,41,0.49803113842357594,33515.02312876901,1123256775.3219216,21491.699775996443,0.5696838066326546,13364.246170068585
B1,187,0.4964646929777542,75924.02888633356,5764458162.332812,42410.16569947165,0.4805240747421435,17617.685899938853
C3,29,-0.5788689775489273,44055.73971776609,1940908202.0795527,24020.920626435734,0.803564185281278,10379.946979550827
E2,11,-4.367263673553477,50874.50822759716,2588215587.399851,34411.54092611436,1.1714941064868265,19959.365193477563
