group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(145000.0, 659186.318]",57,-0.2672882209170404,129368.39716737038,16736182185.654484,100035.3781652432,0.4131025120495578,73972.0086191895
"PREZZO_(16024.692, 30000.0]",61,-4.978701723993709,11018.315384734364,121403273.91747397,8749.53151782376,0.37708010723484714,7610.675006110516
"PREZZO_(96598.54, 145000.0]",58,-14.44485500912748,57648.816289824135,3323386019.6178923,43433.65231628146,0.36056822765067564,34267.15426421187
"PREZZO_(3125.783, 9662.831]",57,-16.99999695696355,8442.336845963588,71273051.42071442,5075.4806423650125,0.8505856761574517,3450.9727566559814
"PREZZO_(9662.831, 16024.692]",57,-27.45805616963864,10112.093150919718,102254427.89287749,7633.381226135116,0.5986837952225403,5438.715078133029
"PREZZO_(45264.126, 62715.279]",57,-28.985655193679406,26952.394720154578,726431581.1510164,21566.75456106523,0.3967631568602796,18654.84972475827
"PREZZO_(62715.279, 76475.519]",58,-40.8149626627551,25828.235696716984,667097759.2051654,21247.788896383066,0.30875367402812554,19117.58270895078
PREZZO_nan,58,-43.801383354685484,5561.22964919795,30927275.211118348,1857.436686991136,1.1986525189211987,687.3953747249116
"PREZZO_(76475.519, 96598.54]",57,-46.338692427060906,40609.49508221831,1649131090.832713,26956.76221470053,0.30820525598007076,17188.88497911679
"PREZZO_(30000.0, 45264.126]",54,-58.73910933982138,35431.56514641024,1255395808.7243128,22052.235825218468,0.5857608469390427,16289.599648066782
