group,count,r2,rmse,mse,mae,mape,medae
D2,44,0.8707498908906344,24348.57985284006,592853340.8501288,17020.375580474934,0.34203702988974655,8319.9399747327
C6,17,0.7803621848955313,48094.716113990224,2313101718.085311,22525.587700268305,0.2970918585773802,9038.781699718867
C4,127,0.7773600608372029,26421.082773801016,698073614.9400448,15268.582162917215,0.7247949494413515,7094.443869291543
C2,39,0.7708927136256826,20037.54286256277,401503123.96904016,14044.87119734642,0.37725362462179424,7659.106460929021
D3,45,0.7078852728978755,24522.587377060845,601357291.6655838,11884.958881805984,0.4481819934084513,4193.935414301282
C5,29,0.6834642864769936,20359.222158100558,414497926.88289267,13218.347444997853,0.34944574497526204,6051.85573002226
B1,187,0.5669235622009682,68218.40936848645,4653751376.766399,37437.62722416752,0.4184104627548922,18203.95004417989
D1,37,0.5572003720325442,23845.619032487604,568613547.0425351,14094.601655675635,0.384609555490242,8277.286416301671
C3,30,0.33329117145651654,28428.96318725474,808205947.9022852,17609.595215836882,0.48204818405024935,11050.215506287612
E2,11,-0.18479350192527066,23902.597064305875,571334146.4185638,21579.854507806023,1.1827296655284651,25942.877990306413
