group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(137595.053, 570000.0]",31,0.3889881033568048,80276.44941038245,6444308329.937694,60722.314166665485,0.2737956256324474,50271.28900170668
"PREZZO_(17815.347, 30729.986]",30,-2.8277831310418073,8493.820599776911,72144988.3811946,7226.814203254922,0.3009844322796497,7466.099925320523
"PREZZO_(9978.824, 17815.347]",30,-7.361495584469697,6810.62154911496,46384565.88526905,5038.954019565124,0.37260885885572753,3689.7871703765304
"PREZZO_(47878.014, 63800.0]",30,-17.504051015824466,19943.033071924794,397724568.1078861,15410.920768190455,0.2752025801582708,11226.534725450958
"PREZZO_(96732.36, 137595.053]",30,-20.878419325125364,51095.68302127094,2610768823.4101954,42645.877634802724,0.3741836666053085,38481.26230436827
"PREZZO_(77403.586, 96732.36]",30,-28.36544293439633,33365.4583883614,1113253813.4654765,25477.576359747967,0.29151406968519794,20841.043018601184
"PREZZO_(30729.986, 47878.014]",31,-40.56777005331464,30419.909862681947,925370916.0536945,23209.49246640453,0.6138454744713179,17038.59428862579
"PREZZO_(4821.284, 9978.824]",30,-63.657326777202414,11173.041240867899,124836850.57013488,6090.853417190744,0.8781187709588055,3259.843402611884
"PREZZO_(63800.0, 77403.586]",30,-86.24589401274928,31756.70338830517,1008488210.092793,24104.886502537098,0.3427107690839887,21408.098543973887
PREZZO_nan,31,-130.3365809923027,13174.771522074381,173574604.65886208,4402.656967972758,2.123419416169029,680.9515144928271
