group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(137595.053, 570000.0]",31,0.4264232634250841,77778.41467021473,6049481788.611873,61071.4074285475,0.27527768182193474,55089.77222419181
"PREZZO_(17815.347, 30729.986]",30,-3.8544160455202396,9565.285102400121,91494679.09019771,7857.185043926532,0.3214879225205097,6654.917500614534
"PREZZO_(9978.824, 17815.347]",30,-12.361035160469964,8609.240087615239,74119014.88620123,5394.629751408966,0.38170590840005214,3763.253589836888
"PREZZO_(47878.014, 63800.0]",30,-19.946470714982958,21218.4292195885,450221738.546687,16471.362398380872,0.29669209058888674,13845.749405058035
"PREZZO_(77403.586, 96732.36]",30,-21.099524982323544,28944.78228124157,837800421.3084759,24257.50001505618,0.27879871744583035,21915.190468241955
"PREZZO_(96732.36, 137595.053]",30,-21.637602028107352,51974.63503317409,2701362686.8316474,42090.15042579444,0.3674672096751962,30433.018918632042
"PREZZO_(30729.986, 47878.014]",31,-47.38694482538167,32820.38415728626,1077177616.2318468,23514.717684796095,0.6086926123594215,17722.410002561122
"PREZZO_(4821.284, 9978.824]",30,-48.756324971497136,9801.367587151351,96066806.57846111,5270.809657671951,0.7871337007695086,2658.5662076773137
"PREZZO_(63800.0, 77403.586]",30,-102.00583211870202,34505.93671705263,1190659668.7212408,23246.53888054161,0.32978436855652743,17984.099360504926
PREZZO_nan,31,-134.2208359257844,13368.172697842176,178708041.27933297,4496.092922911833,2.1523572893294776,548.7660430197147
