group,count,r2,rmse,mse,mae,mape,medae
D2,43,0.7782648542824661,32260.045847290563,1040710558.0692891,20855.933578325286,0.5532730987019393,10301.581863863485
C5,28,0.7723699322083778,17356.53633614791,301249353.58802277,12020.193889050715,0.39252943302390664,9147.261127701398
C6,17,0.7464937560141653,51669.96156922898,2669784928.5655994,28453.91534235388,1.6250606580124318,15108.236713579798
C2,40,0.7225221748798162,21818.23973486464,476035585.1280263,12309.141795796186,0.28430721197700126,5536.848030394471
C4,132,0.5823682302245042,36165.30397816666,1307929211.8331974,19695.54075582034,0.8117023074492834,7043.804757473243
D3,43,0.46007153304387505,28081.21967706514,788554898.5515904,15986.602213936876,1.3521339529813141,6973.334831546519
C3,29,0.449851636052754,26005.74889303959,676298975.4878297,15542.356266691355,0.31067339979019226,7008.511048547582
E2,11,0.43942104472534627,16441.527136030378,270323814.5648233,15020.601275930037,0.7475916340987798,15034.384187934396
B1,187,0.3240377074215407,87968.16178485857,7738397487.807054,42276.6746025844,0.47919769114196853,16496.49165075158
D1,41,0.20351271306003338,42217.31012314819,1782301274.034071,25089.89159949626,0.5310939434077893,11018.9073477688
