group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(145000.0, 659186.318]",57,-1.0657523568860219,165169.41353958796,27280935169.011425,119143.59608968624,0.4241653679076727,77829.95736271088
"PREZZO_(16024.692, 30000.0]",61,-8.004769102428604,13522.221524768222,182850474.964905,9421.400227760749,0.3961914161420414,7581.744312929994
"PREZZO_(96598.54, 145000.0]",58,-11.415401454968034,51686.70655116263,2671515634.105998,43453.64968066039,0.35146916814092205,38006.8833322686
"PREZZO_(3125.783, 9662.831]",57,-13.491589897867486,7575.0321105715775,57381111.476190485,5334.335484408414,0.8834812531010513,4250.37360243634
"PREZZO_(76475.519, 96598.54]",57,-17.88844352206834,25651.782374160444,658013938.9712884,19725.380369517552,0.22533156190855883,14131.16549923185
"PREZZO_(30000.0, 45264.126]",54,-21.229187607919737,21613.383580086713,467138349.7799619,17599.437394132354,0.4697626075451838,14748.328590532932
"PREZZO_(9662.831, 16024.692]",57,-26.594752164508655,9957.531626047688,99152436.08373992,7263.413588848405,0.5671009831440212,4878.416743345271
"PREZZO_(45264.126, 62715.279]",57,-26.720086580705555,25914.204291302995,671545984.0513865,21044.97816833244,0.39168204070689683,18930.664140181107
"PREZZO_(62715.279, 76475.519]",58,-29.775427890589626,22158.01919323503,490977814.56777203,17449.648397709414,0.25165100609635827,14958.267689039058
PREZZO_nan,58,-221.9081821184441,12404.75303803887,153877897.9347346,3578.050570703916,2.45269478438894,1019.9282939863328
