group,count,r2,rmse,mse,mae,mape,medae
C6,17,0.9545579907073555,21876.23455867713,478569638.4662595,17727.114567323246,0.500124161754391,17854.391769636844
C2,40,0.8265582331868602,17249.734418640233,297553337.51362157,11495.86502011991,0.3000238049113916,7147.726327719046
C4,132,0.793003361208822,25461.090597199793,648267134.3988158,15634.753282687867,0.5786311560315883,6435.990494685694
D2,43,0.7319173688059533,35471.7039522183,1258241781.273819,23319.120564631306,0.4177352515844977,11861.57391996339
D3,43,0.6381013788933307,22990.124246259045,528545812.85842806,12971.304700404571,0.7569935848593181,6073.021517183748
C5,28,0.6049496851715789,22865.171023339026,522816045.9265426,16135.795301537639,0.4102279622416332,9934.506101385012
B1,187,0.496287510858351,75937.38564302863,5766486538.298051,42430.416045579324,0.4800706155531951,17175.623560673426
D1,41,0.49580598309779356,33589.22461245042,1128236010.0656452,21506.214888059036,0.5706378937675568,13344.658342696932
C3,29,-0.5629521249728657,43833.11042074488,1921341569.1572134,23944.687326347674,0.8003931882971557,10345.354472403345
E2,11,-4.324884210206089,50673.2597571972,2567779254.420381,34326.54348527331,1.1723839810571248,20039.155972598885
