group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(137595.053, 570000.0]",31,0.07345177811587256,98854.70307358792,9772252319.767233,71224.59865418867,0.2923676372008207,50002.8885802303
"PREZZO_(17815.347, 30729.986]",30,-4.200050532644727,9899.954619115955,98009101.46055533,8443.942798100743,0.35020329866897515,8142.320590479089
"PREZZO_(9978.824, 17815.347]",30,-10.835803727654312,8102.959031901324,65657945.07267125,5428.470705765287,0.39825137672305927,3436.212288326178
"PREZZO_(96732.36, 137595.053]",30,-15.318922071410682,44128.78521729369,1947349684.754038,34315.45242851141,0.29731393213598173,30914.893866952734
"PREZZO_(77403.586, 96732.36]",30,-20.546303537849536,28580.196121986817,816827610.3712304,22768.04001326671,0.2615182453300461,19557.959434615666
"PREZZO_(47878.014, 63800.0]",30,-24.80606036951563,23551.504484517693,554673363.484257,18156.261978794613,0.3246712890744928,13607.589112653099
"PREZZO_(4821.284, 9978.824]",30,-50.940463772680424,10014.181095101983,100283823.00549795,5939.480748164819,0.8481134042016624,3338.4159765069307
"PREZZO_(30729.986, 47878.014]",31,-56.70571420973327,35841.73047416178,1284629643.3824573,27490.051108827476,0.7129063374691796,17344.267845620638
"PREZZO_(63800.0, 77403.586]",30,-86.8607940169359,31868.415873846923,1015595930.3084584,22170.744243905174,0.3150998352356079,18708.242856462886
PREZZO_nan,31,-177.8748605530697,15375.345843141753,236401259.79621637,4510.919699569642,2.3530409548806412,645.3195146480239
