group,count,r2,rmse,mse,mae,mape,medae
C6,17,0.9507149715916541,22782.496582233976,519042150.51950276,17190.55064256712,0.49994223778071606,13115.820272190522
C2,40,0.8164092725195895,17747.244799188113,314964697.96230954,11803.24259172323,0.3096193210820722,7752.64895910515
C4,132,0.7843551371586308,25987.524624931586,675351436.1314256,15727.298709322744,0.5657469509523291,6305.034509826088
D2,43,0.7065729270546545,37110.58522732731,1377195535.9147239,24389.810087322123,0.41507360086459233,11169.335737133986
D3,43,0.6390658490416299,22959.469139998626,527137223.19054925,12800.927122555977,0.7439538458728907,5359.105240806293
C5,28,0.5749007679564972,23718.837962361235,562583274.2847484,16606.29832700514,0.41337326058441615,10408.199285109242
D1,41,0.5342612202264034,32282.88471024094,1042184645.2147084,21004.590115808085,0.5535782370196818,13307.486549857062
B1,187,0.48602325032497695,76707.18028216792,5883991506.841011,42399.212913597454,0.4861511470839411,19091.944303796292
C3,29,-0.6024348952102148,44383.306015228416,1969877852.8414106,24256.412368631496,0.8044450993254763,10115.671991150044
E2,11,-4.341783622823567,50753.60610148553,2575928532.304749,33412.68749283184,1.1166462426285992,18851.37800010744
