group,count,r2,rmse,mse,mae,mape,medae
E2,18,0.942559001028411,14099.66515479933,198800557.47746238,7970.763212014197,0.1590770768117276,4077.365341163517
C2,82,0.931555249100358,10695.226149460681,114387862.38810755,6876.349266645124,0.37383716246559245,3692.686909332676
C6,33,0.9151217731638068,32201.32595821322,1036925393.4670964,13801.229708701287,0.13132057097161437,3153.922200701454
C4,226,0.902890313820739,16050.687929506446,257624583.01040393,9170.80829016212,0.2792332210711537,3731.9886127388527
C5,64,0.8931381774994641,12676.873440293644,160703120.22122243,7892.811443405152,0.17618089783014412,3123.5131327323597
D3,92,0.8772877136414652,14792.258551057055,218810913.0413206,6358.327308576338,0.3118631335640567,2210.6882601978064
D1,77,0.8164529300148857,18748.83085518131,351518658.4361988,8953.089583877965,0.21796227311328287,3713.85564664736
D2,95,0.7906302656221884,58826.3413055307,3460538431.394788,17931.634045825158,0.15780313892096828,5918.297142669384
B1,381,0.7303079314154177,57273.13362193038,3280211834.875492,21035.90925385891,0.21854687076435844,8075.951390223658
C3,51,0.6735891004330528,21774.6899112943,474137120.73302174,11011.850079936507,0.2522444057903524,3889.1798125713103
