group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(174738.808, 659186.318]",18,-0.13143921634445,151968.81116114737,23094519565.732468,98977.63847406911,0.2751459258320294,61113.54143240571
PREZZO_nan,18,-15.299268516687672,40816.532195249914,1665989300.445873,28301.98754042785,3.9481763056264825,15877.615183413169
"PREZZO_(132333.572, 174738.808]",17,-22.03956839726187,53217.382649622,2832089816.0762887,42635.00389691341,0.29083105747784543,33345.93631083678
"PREZZO_(50922.222, 62022.137]",17,-22.26672455161326,14869.005137583981,221087313.78149882,10420.130999546802,0.1799567764917266,5240.498933158662
"PREZZO_(79082.836, 91034.483]",17,-29.060347006658336,21113.07825612362,445762073.4491999,18138.132320874007,0.21411363544000264,18253.52922206046
"PREZZO_(70000.0, 79082.836]",16,-39.8046590459884,17410.11401414104,303112069.9853902,14317.947854557835,0.19273829533246692,14466.93570497688
"PREZZO_(91034.483, 110000.0]",18,-67.80145136821751,47126.032251163866,2220862915.7377367,38948.93897192117,0.3959659746580947,30266.615569794227
"PREZZO_(110000.0, 132333.572]",16,-94.09330839118735,46029.56464576306,2118720821.4784803,35450.105644508585,0.2924164780324562,27303.732052499436
"PREZZO_(38414.214, 50922.222]",17,-114.78755836419658,37273.189739092355,1389290673.3263798,27634.9679098506,0.6097582510908519,24404.696716170154
"PREZZO_(62022.137, 70000.0]",18,-152.77259648895577,24857.034836388142,617872180.8574136,16351.917493468516,0.2419515444557251,11923.227981284766
