group,count,r2,rmse,mse,mae,mape,medae
C6,17,0.9628829723516062,19771.080454434512,390895622.33572245,15894.25860723635,0.5007533645215132,14160.845552265062
C2,40,0.8281122371819036,17172.283434169025,294887318.3434359,11489.920912826472,0.3120836803077879,7327.052930268887
C4,132,0.7890066551025231,25705.7177145588,660783923.220582,15622.883962547645,0.5853019446409483,6570.922872375303
D2,43,0.743812054840354,34675.84536805767,1202414251.9894469,23119.5674337461,0.41750856166148154,11624.705208413267
D3,43,0.6341637826257048,23114.856579771378,534296594.7034002,12926.701129942572,0.7626873358948351,6231.514851444996
C5,28,0.5941557286997268,23175.438386540107,537100944.4083167,16222.639412017805,0.4089630212821379,9736.456271508723
B1,187,0.5034397996829014,75396.33502467923,5684607335.153672,42334.385632763355,0.4831764302600662,17330.753216116733
D1,41,0.48629792237113956,33904.45719243628,1149512217.5137446,21620.941807140876,0.5774741311898286,13130.817664872298
C3,29,-0.8023364805875259,47070.3457614278,2215617450.100364,24686.765009531457,0.8620088500150274,11773.974338000866
E2,11,-4.140377419812847,49787.60808720055,2478805919.0446773,33911.339900302475,1.1459793519306907,19138.579705705757
