group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(145000.0, 659186.318]",57,-0.25325087890175,128649.91607065104,16550800904.98556,99537.59043598583,0.4158649092246916,71480.90502661644
"PREZZO_(16024.692, 30000.0]",61,-4.7290654935272745,10785.83194658681,116334170.7800126,8498.762975233922,0.36474402452245946,7113.563611119756
"PREZZO_(96598.54, 145000.0]",58,-14.448141760053524,57654.94995766468,3324093254.6208186,43944.94366341198,0.3657764632828951,38861.559531470135
"PREZZO_(3125.783, 9662.831]",57,-17.433036617309227,8543.2851759915,72987721.59831609,5168.827872620058,0.8706635681674303,3231.0396032077456
"PREZZO_(9662.831, 16024.692]",57,-26.46663580619555,9934.389420342466,98692093.15501232,7563.936788376613,0.5943851776040434,5678.532185664062
"PREZZO_(45264.126, 62715.279]",57,-29.56278485950301,27210.533017249923,740413107.0828483,21677.097413954485,0.39791434130836023,20178.57317087779
"PREZZO_(62715.279, 76475.519]",58,-41.59474646417757,26067.951423318038,679538091.408469,21373.041488312498,0.310175281104396,19090.565439945945
"PREZZO_(76475.519, 96598.54]",57,-42.25041901609617,38816.3433250863,1506708509.1309721,26063.189433731764,0.2979490772533595,17661.749566388855
PREZZO_nan,58,-48.03463405295156,5818.038444810233,33849571.34528988,1929.979855285853,1.2612523721360016,640.9022278256452
"PREZZO_(30000.0, 45264.126]",54,-65.94029562412113,37506.34796761899,1406726137.8681173,22211.851562244174,0.5895484354071814,15755.132964398153
