group,count,r2,rmse,mse,mae,mape,medae
E2,18,0.9896519826247564,5984.479470290214,35813994.53032504,3912.7178107425298,0.09022841624015566,2224.7283450485884
C6,33,0.9700308781305269,19134.301585623296,366121497.16958624,10460.717467796476,0.1088551477028387,2567.8942268157844
B1,381,0.9545492884330254,23511.871624575077,552808107.2904986,12465.869381452183,0.15282270093976827,6042.636841904779
D3,92,0.9463483859503165,9780.968519304342,95667345.17562258,5422.29629258865,0.23445067102029485,2063.6503614131598
D2,95,0.9346174771703437,32873.4832756113,1080665902.671896,12652.417510540494,0.10658481869435439,3686.292858781293
C2,82,0.9328971334669984,10589.865274057609,112145246.52269122,6992.972042034075,0.21368704652128206,3689.8589824005267
D1,77,0.9196196052889515,12407.249916922437,153939850.50097185,7175.09572049211,0.17218266845016006,3528.1367251974225
C4,226,0.9026027749062786,16074.433171859562,258387401.79657906,9590.424179396412,0.19352282364732876,4255.115440438385
C5,64,0.8966640310787144,12465.985695139781,155400799.35142964,8474.478020741179,0.18981735839275443,5343.297929590039
C3,51,0.8524305997629781,14640.901166829466,214355986.97686842,8817.17145589172,0.20215803010951694,3784.3651547334885
