group,count,r2,rmse,mse,mae,mape,medae
E2,18,0.9888499192207758,6212.076763264669,38589897.71269285,4292.87583678733,0.10824777386272436,2288.5743444083073
C6,33,0.9693691562654358,19344.39206770887,374205504.469238,10496.497134854777,0.10987727678104443,2362.2431724751586
B1,381,0.9553677198059507,23299.220732010468,542853686.7189465,12731.467785167273,0.16016194842960696,6703.568355641866
D3,92,0.9496383742696421,9476.333486703965,89800896.35122693,5254.4607738891655,0.23204692014824976,2001.6337231144516
C2,82,0.9334735452926529,10544.283847646086,111181921.85973014,7019.451367587215,0.2171249273542093,3853.3153785324357
D2,95,0.9281496127451783,34461.12443110328,1187569097.055983,12742.143133126496,0.1127562958219788,3724.2903986811452
D1,77,0.9151700470521154,12746.0341004018,162461385.28860548,7404.883191151241,0.18383746430730974,3736.8417472242054
C4,226,0.9020548750065754,16119.58245109897,259840938.39777786,9655.764858014434,0.19273724033374584,4161.28632909053
C5,64,0.8984364769614348,12358.613341320719,152735323.72027048,8376.587600729978,0.18945915723374931,4966.563720169601
C3,51,0.8578687775579767,14368.598136202587,206456612.39968443,8764.28528819653,0.2080272783248824,4139.954694129199
