group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(134846.442, 570000.0]",31,0.4832672312103863,74531.87210830141,5554999959.968198,56273.02787481975,0.26227496010284473,51913.861164899485
"PREZZO_(17434.994, 30308.674]",30,-3.85868163133241,9544.87291095718,91104598.88632417,7767.731460035181,0.3249739948785127,6854.890555903033
"PREZZO_(9978.824, 17434.994]",30,-12.853599007200252,8609.944122611787,74131137.79449727,5822.89375815459,0.4229363717317733,2994.988232841896
"PREZZO_(96146.366, 134846.442]",30,-19.894627347571664,49612.04820185067,2461355326.782754,41067.196060946255,0.3596052348528429,34526.93763440673
"PREZZO_(46791.324, 62868.682]",30,-23.31069784342636,22865.192005412657,522817005.4443869,17195.02600241255,0.31483476371396363,10853.363198666786
"PREZZO_(76300.0, 96146.366]",30,-24.10295034061019,31309.307719022752,980272749.8444576,23962.08855534165,0.2753366332206335,19237.040139670666
"PREZZO_(30308.674, 46791.324]",31,-46.2970016066333,31268.13573960271,977696312.6302203,23237.739784491718,0.612751445241477,15441.2906098091
"PREZZO_(4821.284, 9978.824]",30,-50.14696508810449,9937.392962674961,98751778.89462183,5210.45346611655,0.7784655314624677,2414.938723446305
"PREZZO_(62868.682, 76300.0]",30,-71.40247243562345,28647.852023709507,820699425.5723568,20406.019686360043,0.2921055796533519,14221.214742573266
PREZZO_nan,31,-170.94016153664867,15074.36075305199,227236352.11315414,4940.135092520785,2.406826266221036,872.4359970553005
