group,count,r2,rmse,mse,mae,mape,medae
"PREZZO_(174738.808, 659186.318]",18,0.245122500450893,124130.09637502788,15408280826.07371,89671.91664289882,0.2654250460050955,79769.39727209945
PREZZO_nan,18,-8.706272620233086,31497.659898470873,992102579.07974,23456.317934123173,3.637308272353538,12618.713596316149
"PREZZO_(132333.572, 174738.808]",17,-23.782509756244185,55193.633382960914,3046337166.012697,43809.69514296432,0.29646481949856834,31056.4140625
"PREZZO_(50922.222, 62022.137]",17,-27.075516357985034,16333.458881207478,266781879.02409542,11133.543242969386,0.19146456580940335,5763.853466201974
"PREZZO_(79082.836, 91034.483]",17,-40.16781097507327,24707.76431553118,610473617.471836,20617.444159681756,0.2451564984238959,18497.599330357145
"PREZZO_(70000.0, 79082.836]",16,-67.87248053077414,22618.802110245615,511610208.9024515,18279.845094836222,0.245452050015422,16808.602488431206
"PREZZO_(91034.483, 110000.0]",18,-71.01304390956271,48213.389068126045,2324530885.4344964,39247.34550517671,0.39627564218252065,38985.33007812501
"PREZZO_(110000.0, 132333.572]",16,-99.59622019765813,47342.66703332002,2241328121.8278065,38006.72948878376,0.3147725386041862,32033.105468750007
"PREZZO_(38414.214, 50922.222]",17,-112.37355643629625,36882.59733969852,1360325986.5223365,28712.393322050513,0.631363069077191,17754.520833333336
"PREZZO_(62022.137, 70000.0]",18,-207.18065516916025,28922.113936683287,836488674.5664896,19794.16482878677,0.2928513196378572,13409.69140625
