Feature,Pearson,Spearman,Abs_Pearson,Abs_Spearman
OV_ValoreMercatoMin_normale,0.36223443930853055,0.4562420624312143,0.36223443930853055,0.4562420624312143
OV_ValoreMercatoMax_normale,0.3606314438179224,0.4640585219290556,0.3606314438179224,0.4640585219290556
OV_ValoreMercatoMax_ottimo,0.3418714276517655,0.3804080690181772,0.3418714276517655,0.3804080690181772
OV_ValoreMercatoMin_ottimo,0.3363518635296983,0.38962288032876946,0.3363518635296983,0.38962288032876946
II_ST19,-0.24318381023346045,-0.31593849317740863,0.24318381023346045,0.31593849317740863
II_ST1,-0.23976423975543684,-0.3142637209746059,0.23976423975543684,0.3142637209746059
PC_ParticellaNumerica,0.17156651882968468,0.1546506002304485,0.17156651882968468,0.1546506002304485
ISC_Loc21Id,-0.16045643165876097,-0.18348443969071837,0.16045643165876097,0.18348443969071837
II_P88,-0.13344481118407361,-0.17429290734945346,0.13344481118407361,0.17429290734945346
II_IT3,-0.13202431317010727,-0.10571651898066481,0.13202431317010727,0.10571651898066481
AI_Rendita,0.13130387028777782,0.17927138018821157,0.13130387028777782,0.17927138018821157
AI_IdParticellaCatastale,0.12313077208727988,0.09609803228658156,0.12313077208727988,0.09609803228658156
ISC_Sez21,-0.11305385624333973,-0.20380028642797104,0.11305385624333973,0.20380028642797104
II_PF3,-0.10484627640989434,-0.10077670679277718,0.10484627640989434,0.10077670679277718
A_Numero,0.09802221927492756,0.1108162368674991,0.09802221927492756,0.1108162368674991
II_A2,-0.08577498683517522,-0.08902379356977733,0.08577498683517522,0.08902379356977733
ISC_Abi21,-0.0836776460087626,-0.07690819978517388,0.0836776460087626,0.07690819978517388
II_A8,-0.0836776460087626,-0.07690819978517388,0.0836776460087626,0.07690819978517388
II_PF1,-0.08265257364735203,-0.08786248962213307,0.08265257364735203,0.08786248962213307
ISC_Fam21,-0.08265257364735203,-0.08786248962213307,0.08265257364735203,0.08786248962213307
II_P85,-0.07792472403026941,-0.08904241487627385,0.07792472403026941,0.08904241487627385
II_P3,-0.07670278181856847,-0.09574648898985468,0.07670278181856847,0.09574648898985468
II_P83,-0.07350873147202935,-0.09872978930532064,0.07350873147202935,0.09872978930532064
ISC_Pop21,-0.07241157202215155,-0.09850649832452751,0.07241157202215155,0.09850649832452751
II_P1,-0.07241157202215155,-0.09850649832452751,0.07241157202215155,0.09850649832452751
AI_Numero,0.06949592390206008,0.07047720051340228,0.06949592390206008,0.07047720051340228
II_P84,-0.06725562580342166,-0.09490424004506931,0.06725562580342166,0.09490424004506931
II_P2,-0.06649479645469973,-0.09430733782585397,0.06649479645469973,0.09430733782585397
AI_ConsistenzaValore,0.06479863003252687,0.09131206803509319,0.06479863003252687,0.09131206803509319
II_P89,-0.05508814559828677,-0.08164046324173098,0.05508814559828677,0.08164046324173098
II_P102,-0.03798507113753539,-0.08027039123900846,0.03798507113753539,0.08027039123900846
AI_SuperficieVisuraTotaleAttuale,0.03337555056787166,0.0780785063479159,0.03337555056787166,0.0780785063479159
AI_SuperficieVisuraTotaleEAttuale,0.03178751390114631,0.07024320649051259,0.03178751390114631,0.07024320649051259
II_P101,-0.02221290740532077,-0.05691718173227301,0.02221290740532077,0.05691718173227301
II_IT10,0.021969297351186808,-0.005236514823929812,0.021969297351186808,0.005236514823929812
AI_SuperficieCalcolata,0.021417075075783665,0.041709780989320135,0.021417075075783665,0.041709780989320135
II_P90,0.0210086559331105,0.08608976572886648,0.0210086559331105,0.08608976572886648
II_IT11,0.01768364552872518,-0.013955358430646122,0.01768364552872518,0.013955358430646122
PC_Perimetro,0.016518730109073988,-0.04261971496303216,0.016518730109073988,0.04261971496303216
II_IT5,0.01043754872426902,-0.018277497614668736,0.01043754872426902,0.018277497614668736
II_IT2,0.00978216014674624,-0.012168436966190918,0.00978216014674624,0.012168436966190918
AI_SuperficieVisuraTotale,0.009299116498495446,0.04971516450865465,0.009299116498495446,0.04971516450865465
AI_Superficie,0.009299116498495446,0.04971516450865465,0.009299116498495446,0.04971516450865465
II_IT8,0.009054401675220947,-0.0020157882828908315,0.009054401675220947,0.0020157882828908315
ISC_ShapeLeng,-0.00890212317453703,-0.022728971214312263,0.00890212317453703,0.022728971214312263
AI_SuperficieVisuraTotaleE,0.008003245658940433,0.04188121752361008,0.008003245658940433,0.04188121752361008
II_P103,-0.004690539340874203,-0.024283001764039303,0.004690539340874203,0.024283001764039303
ISC_ShapeArea,-0.0025956073670351625,-0.018593751972288023,0.0025956073670351625,0.018593751972288023
PC_Area,-0.0013244625066959183,-0.057454271011984755,0.0013244625066959183,0.057454271011984755
A_RegPart,-0.001276862912385693,0.021483361758749524,0.001276862912385693,0.021483361758749524
