,AI_Rendita,AI_SuperficieVisuraTotaleAttuale,AI_SuperficieVisuraTotaleEAttuale,AI_SuperficieVisuraTotale,AI_Superficie,AI_SuperficieVisuraTotaleE,AI_SuperficieCalcolata,OV_ValoreMercatoMin_normale,OV_ValoreMercatoMax_normale,OV_ValoreMercatoMax_ottimo,OV_ValoreMercatoMin_ottimo,II_ST2_B,II_ST21,II_ST1,II_ST29,II_ST19,II_ST23,II_ST31,II_ST4,II_ST22,II_ST2,II_ST20,POI_lodging_count,II_ST32,II_ST26,II_ST3,AI_ConsistenzaValore,POI_restaurant_count,II_P98,II_PF3,AI_Prezzo_Ridistribuito,AI_Prezzo_MQ
AI_Rendita,1.0,0.8635945550171675,0.8595940243026622,0.8435404163366838,0.8435404163366838,0.8402616565372846,0.8877060239500645,0.2987297649837364,0.291389784104022,0.2958738554229468,0.2906924121343366,-0.20683452091685223,-0.19343023606624388,-0.19890462068906428,-0.2030442086085406,-0.18863306781167935,-0.19302867878874233,-0.19047111490760865,-0.19250165450284001,-0.1953707526722214,-0.18446158100817941,-0.1771597250469216,0.18201718698063568,-0.17731230612502238,-0.17554672608457128,-0.1824640497372364,0.2714535248230838,0.19815094089811566,-0.10389249078433836,-0.09688077171901836,0.6369712130180876,0.21530611151876844
AI_SuperficieVisuraTotaleAttuale,0.8635945550171675,1.0,0.9954986760002502,0.981568062311663,0.981568062311663,0.9773937005163394,0.9319941029246837,0.19672875219682692,0.19684759914052355,0.19515786634625282,0.18485178239160002,-0.1843947121674625,-0.1779994984764209,-0.16915369210203696,-0.18842527884244445,-0.16409805290582694,-0.1674631121927859,-0.1674351335314689,-0.16824589209931248,-0.15402307091046577,-0.14865401914928938,-0.1450858402613815,0.11293845203965039,-0.14134142098712615,-0.14093821437230972,-0.14417898566466983,0.33063432009216315,0.10046575530720324,-0.12004060008132932,-0.15663661231945308,0.6084609920570889,0.0935180941899221
AI_SuperficieVisuraTotaleEAttuale,0.8595940243026622,0.9954986760002502,1.0,0.9765328757831765,0.9765328757831765,0.9815101164744034,0.9267156149506729,0.2212275712052797,0.21978367410237767,0.22266685785276236,0.21032919284833168,-0.18079503779933395,-0.17254961081974418,-0.16605767141233455,-0.18438034101577158,-0.15953090924476748,-0.16419228741275704,-0.16421675634097282,-0.16594918751764878,-0.14976044617393147,-0.146150489372446,-0.14150815399479938,0.14465267798975692,-0.13955100565321044,-0.13852296890749646,-0.14094960439943244,0.3238819508737918,0.13280601052446192,-0.12350975742461842,-0.15289739993061768,0.6057319728545968,0.09471183224016648
AI_SuperficieVisuraTotale,0.8435404163366838,0.981568062311663,0.9765328757831765,1.0,1.0,0.9952117063985988,0.9152017532207731,0.15796578166614822,0.15802349623584824,0.15433512997919271,0.1431112113698833,-0.1837347100196196,-0.17594838619148034,-0.16931068330958723,-0.1868028046529907,-0.16320684182783585,-0.16814349940623996,-0.16898392689996683,-0.16960213294852394,-0.15378805764130088,-0.14959570705718273,-0.14530458633652904,0.10056548894762446,-0.14453000137078328,-0.14372086504213252,-0.14320089487641405,0.3281193870430321,0.09084984840248339,-0.11339134400009102,-0.15876482291094868,0.6066722265695573,0.07437478376918222
AI_Superficie,0.8435404163366838,0.981568062311663,0.9765328757831765,1.0,1.0,0.9952117063985988,0.9152017532207731,0.15796578166614822,0.15802349623584824,0.15433512997919271,0.1431112113698833,-0.1837347100196196,-0.17594838619148034,-0.16931068330958723,-0.1868028046529907,-0.16320684182783585,-0.16814349940623996,-0.16898392689996683,-0.16960213294852394,-0.15378805764130088,-0.14959570705718273,-0.14530458633652904,0.10056548894762446,-0.14453000137078328,-0.14372086504213252,-0.14320089487641405,0.3281193870430321,0.09084984840248339,-0.11339134400009102,-0.15876482291094868,0.6066722265695573,0.07437478376918222
AI_SuperficieVisuraTotaleE,0.8402616565372846,0.9773937005163394,0.9815101164744034,0.9952117063985988,0.9952117063985988,1.0,0.9102550036867666,0.18335933445805472,0.18180351421351443,0.18296515844713698,0.16974272072332167,-0.17890004630836695,-0.16920038078561236,-0.16517426094302717,-0.181541679012745,-0.1576050220539507,-0.16381983950819778,-0.16461986919079405,-0.16610406150063572,-0.14868264637750786,-0.14627538077422536,-0.14097529433500416,0.1326782708834028,-0.1419751359955546,-0.14044875715276245,-0.13923864157665036,0.32158402487998267,0.12380400525259991,-0.11474253270256607,-0.15239495125831828,0.6043844952457255,0.07604696547765767
AI_SuperficieCalcolata,0.8877060239500645,0.9319941029246837,0.9267156149506729,0.9152017532207731,0.9152017532207731,0.9102550036867666,1.0,0.15135143449565794,0.14927193826317958,0.15101024386711356,0.1428398380445551,-0.16646948860169053,-0.15606407019934218,-0.1530301524240118,-0.16957102931534448,-0.14390970254908997,-0.1514216183426089,-0.14892886407140046,-0.1524335025999721,-0.14166103178776224,-0.1348219024584063,-0.1272706863292524,0.06360162699128964,-0.12994516357367936,-0.12818235201814943,-0.13263780054406904,0.33276256457280223,0.08236840415537304,-0.08695245580649212,-0.12879066774990347,0.5938948964594839,0.09152320764543112
OV_ValoreMercatoMin_normale,0.2987297649837364,0.19672875219682692,0.2212275712052797,0.15796578166614822,0.15796578166614822,0.18335933445805472,0.15135143449565794,1.0,0.98282287963188,0.9875181485800315,0.9864308213590188,-0.3759394601012023,-0.35595666621974703,-0.37917185390704294,-0.3504475593273722,-0.36620718515964995,-0.3590170321703218,-0.3622466173313024,-0.3540690885567998,-0.3961211816519609,-0.3693829814757728,-0.36209497090637965,0.7394602674672853,-0.3605368226471849,-0.35167236175467487,-0.3706707028391996,0.09586152076069415,0.6281248508819974,-0.30255662405361305,-0.11849901159765297,0.3903031117694821,0.46632007236230305
OV_ValoreMercatoMax_normale,0.291389784104022,0.19684759914052355,0.21978367410237767,0.15802349623584824,0.15802349623584824,0.18180351421351443,0.14927193826317958,0.98282287963188,1.0,0.9827725962697533,0.9625976198706245,-0.3791427527779897,-0.3601824548507141,-0.3831162217169734,-0.3542708121608992,-0.37052715447425305,-0.36385260585450907,-0.36821439876430634,-0.3586730233097014,-0.3961007684756599,-0.37390963348698314,-0.36634160665317894,0.7274769869991923,-0.36492172957065266,-0.35723905747974166,-0.3732072028066165,0.16089693114709694,0.6155546404020908,-0.3118824943560222,-0.1330732163036272,0.3907687421221612,0.46450965204868405
OV_ValoreMercatoMax_ottimo,0.2958738554229468,0.19515786634625282,0.22266685785276236,0.15433512997919271,0.15433512997919271,0.18296515844713698,0.15101024386711356,0.9875181485800315,0.9827725962697533,1.0,0.9818590755751212,-0.34387760669867984,-0.3218942538585789,-0.3447468591804954,-0.3178637660929276,-0.3296494442583053,-0.32384976993932857,-0.3255115854435756,-0.3194925752572864,-0.3631482484651072,-0.3338453162225031,-0.32458118047435275,0.7484834703656529,-0.3233013187324678,-0.3156104861470511,-0.33991600227068747,0.13563067410396265,0.6376794069582001,-0.2917560108721852,-0.10256658350703066,0.3805455265325763,0.45154965021846943
OV_ValoreMercatoMin_ottimo,0.2906924121343366,0.18485178239160002,0.21032919284833168,0.1431112113698833,0.1431112113698833,0.16974272072332167,0.1428398380445551,0.9864308213590188,0.9625976198706245,0.9818590755751212,1.0,-0.35179188126465216,-0.3305555067284968,-0.3536617411863552,-0.3262755944363497,-0.3395218515304439,-0.332804764134618,-0.33513977809422185,-0.3284163148578807,-0.3735433018841097,-0.3434241574002694,-0.33521056187170933,0.7453292455352593,-0.3329820145953365,-0.32468714447015207,-0.34790413291959366,0.03300242024992248,0.6320315844335656,-0.2928230477468094,-0.10119436526083493,0.3600594465922135,0.4359169376276722
