,AI_Rendita,AI_SuperficieVisuraTotaleAttuale,AI_SuperficieVisuraTotaleEAttuale,AI_SuperficieVisuraTotale,AI_Superficie,AI_SuperficieVisuraTotaleE,AI_SuperficieCalcolata,OV_ValoreMercatoMin_normale,OV_ValoreMercatoMax_normale,OV_ValoreMercatoMax_ottimo,OV_ValoreMercatoMin_ottimo,II_ST2_B,II_ST21,II_ST1,II_ST29,II_ST19,II_ST23,II_ST31,II_ST4,II_ST22,II_ST2,II_ST20,POI_lodging_count,II_ST32,II_ST26,II_ST3,AI_ConsistenzaValore,POI_restaurant_count,II_P98,II_PF3,AI_Prezzo_Ridistribuito,AI_Prezzo_MQ
AI_Rendita,1.0,0.8780634216872657,0.8801003731339543,0.8617075127925461,0.8617075127925461,0.8641435787346375,0.8913665968071376,0.2545518194632669,0.2531992437297314,0.27697292935663864,0.2781430403067081,-0.15018622895427247,-0.1364163733183722,-0.16277350559775766,-0.14371384219663624,-0.1600606583805747,-0.15445802262005792,-0.15332554049526473,-0.15888800009880352,-0.1348899894294789,-0.16756653397353855,-0.17699062470304872,0.13706433202358384,-0.1504576010552906,-0.16825043738749695,-0.151772880210137,0.4635781784856714,0.19910654813460565,-0.09184078758989786,-0.10961581543143811,0.7016735732452252,0.25648124509894965
AI_SuperficieVisuraTotaleAttuale,0.8780634216872657,1.0,0.9946135788568871,0.9802039431305916,0.9802039431305916,0.9746138345901794,0.9307976545360259,0.1687341286765978,0.1785226229268122,0.17932433153292404,0.17550964845164774,-0.1810980102397893,-0.17792677064588525,-0.18927239900312026,-0.181465136128344,-0.19714054233513947,-0.18881575818790639,-0.18871623434902504,-0.18518748076859934,-0.1354993506433181,-0.18895935051988313,-0.2065873832421689,0.06338391450276137,-0.17035848389540464,-0.190671491053908,-0.15828119945216432,0.4907858241061938,0.09727068738080333,-0.14206850167751156,-0.20318989998999173,0.6821719243460493,0.1414348261881164
AI_SuperficieVisuraTotaleEAttuale,0.8801003731339543,0.9946135788568871,1.0,0.9746590073941852,0.9746590073941852,0.9800063428335896,0.9298218341661948,0.19475262532961976,0.1996990054696904,0.21720521690256955,0.20930072674622696,-0.174684152504305,-0.1671587814010294,-0.18401807624196231,-0.1748755124129246,-0.18755967055706155,-0.1831033302402619,-0.18393890124140672,-0.18031065738682397,-0.12950553098885972,-0.18464376829142176,-0.19940360586876008,0.10417503617782643,-0.16843216539001515,-0.18669412467073965,-0.15529788884844165,0.4874174840499507,0.14044501424211053,-0.14055967133872255,-0.19266677324950082,0.6785902433606279,0.14024774152790226
AI_SuperficieVisuraTotale,0.8617075127925461,0.9802039431305916,0.9746590073941852,1.0,1.0,0.9941756315591243,0.9168734298782616,0.14019224350153733,0.14881491709492334,0.14917462556683908,0.14621482989566256,-0.1836237527686012,-0.17813848827807485,-0.19290338572572244,-0.18351331236085305,-0.19909480136886926,-0.19230773988121397,-0.19166399784354396,-0.1894754320987992,-0.13665877243476549,-0.19383090955126062,-0.21092634706816943,0.05361229852848914,-0.17486660413403926,-0.19572532223469813,-0.15918759274276692,0.4939010228546944,0.08822040963779348,-0.13720090040490457,-0.20554042415021914,0.6656180170911271,0.11432963584473226
AI_Superficie,0.8617075127925461,0.9802039431305916,0.9746590073941852,1.0,1.0,0.9941756315591243,0.9168734298782616,0.14019224350153733,0.14881491709492334,0.14917462556683908,0.14621482989566256,-0.1836237527686012,-0.17813848827807485,-0.19290338572572244,-0.18351331236085305,-0.19909480136886926,-0.19230773988121397,-0.19166399784354396,-0.1894754320987992,-0.13665877243476549,-0.19383090955126062,-0.21092634706816943,0.05361229852848914,-0.17486660413403926,-0.19572532223469813,-0.15918759274276692,0.4939010228546944,0.08822040963779348,-0.13720090040490457,-0.20554042415021914,0.6656180170911271,0.11432963584473226
AI_SuperficieVisuraTotaleE,0.8641435787346375,0.9746138345901794,0.9800063428335896,0.9941756315591243,0.9941756315591243,1.0,0.9154969606794255,0.1664508627151725,0.17028855091055564,0.1883191145783401,0.18097168145187814,-0.1752219014774561,-0.1654473965387846,-0.18593131879279523,-0.17504731275376617,-0.18780822233259536,-0.18508982553985445,-0.18540867879385323,-0.18298098977022728,-0.12880273549820026,-0.18816522016378742,-0.20235289783936647,0.09597694356823966,-0.1719381231325286,-0.19056731143890465,-0.15455471153111355,0.49105407064526974,0.1322949979480251,-0.13386774667039758,-0.19302295687151177,0.6623372977494646,0.11337116103499689
AI_SuperficieCalcolata,0.8913665968071376,0.9307976545360259,0.9298218341661948,0.9168734298782616,0.9168734298782616,0.9154969606794255,1.0,0.11674724753610849,0.11118862705081432,0.12922079282487609,0.15005528236488613,-0.12589310607085813,-0.11702717117507218,-0.1307105700439066,-0.12718458998653756,-0.13278144642320253,-0.13038643759078491,-0.12791793561237066,-0.13220565576123053,-0.08922798895557339,-0.1290017828864992,-0.14277934743123813,0.025684673364854547,-0.1149364029236355,-0.13276637240415037,-0.10726630473531816,0.4137946547979432,0.10238209706889892,-0.08618953300581254,-0.16281763801174282,0.6221568674658136,0.10532446863831148
OV_ValoreMercatoMin_normale,0.2545518194632669,0.1687341286765978,0.19475262532961976,0.14019224350153733,0.14019224350153733,0.1664508627151725,0.11674724753610849,1.0,0.9300758140051847,0.9011235605765754,0.8818199245383107,-0.3869242033806222,-0.34770525119001805,-0.4135839888739854,-0.3457678358493499,-0.3797093265063832,-0.38041389394426833,-0.38690145702187767,-0.36959986025326036,-0.4365038815867447,-0.42518904543757186,-0.3999343250734256,0.7205087557666383,-0.4222054436144358,-0.40507704381717863,-0.43229935119033563,0.19372989466144225,0.6653052323189769,-0.306544560624717,-0.09890250913736875,0.47439256319509954,0.5595862795760351
OV_ValoreMercatoMax_normale,0.2531992437297314,0.1785226229268122,0.1996990054696904,0.14881491709492334,0.14881491709492334,0.17028855091055564,0.11118862705081432,0.9300758140051847,1.0,0.897332118023371,0.8529358814301286,-0.4126213006394253,-0.37376490990819566,-0.44055490256962143,-0.37447824299692056,-0.40721479935146676,-0.40867059603776407,-0.42077041763253864,-0.39820025558527455,-0.45727897813552515,-0.4545316389319072,-0.42646701465876535,0.7034766887185366,-0.45225466916923457,-0.4332408335475615,-0.451505941437723,0.26864685663163523,0.6280085849384283,-0.32507014495943687,-0.12450658236228009,0.47877833890439986,0.5606081186804321
OV_ValoreMercatoMax_ottimo,0.27697292935663864,0.17932433153292404,0.21720521690256955,0.14917462556683908,0.14917462556683908,0.1883191145783401,0.12922079282487609,0.9011235605765754,0.897332118023371,1.0,0.8997055775101032,-0.3129153891487954,-0.2547509112441055,-0.3316712171415546,-0.275968011054674,-0.2772842786227513,-0.29692782464399087,-0.29758430078224984,-0.2855769486978139,-0.3632602791662253,-0.33433261247951734,-0.29610868326031725,0.7977757561686158,-0.33410503721357393,-0.30775838851660164,-0.36766654590604414,0.2889393580715536,0.752019894550078,-0.24227770660831754,-0.010841075236212016,0.443470191748721,0.5023757294158102
