,Colonna,Valori_Unici,Totale_Valori,Ratio_Cardinalità,Tipo_Cardinalità
7,AI_Id,4226,4226,1.0,Alta
18,AI_Posizione,1963,4226,0.4645,Alta
4,A_Codice,1627,4226,0.385,Alta
54,PC_Poligono,1474,4226,0.3488,Alta
59,PC_Centroide,1474,4226,0.3488,Alta
55,PC_PoligonoGeoJson,1474,4226,0.3488,Alta
57,PC_BoundingBox,1474,4226,0.3488,Alta
58,PC_Isodistanza,1474,4226,0.3488,Alta
60,PC_PuntoInterno,1474,4226,0.3488,Alta
56,PC_PoligonoMetrico,1474,4226,0.3488,Alta
16,AI_Via,759,4226,0.1796,Alta
13,AI_Particella,651,4226,0.154,Alta
22,AI_ParticellaAttuale,648,4226,0.1533,Alta
34,OV_Id_normale,476,4226,0.1126,Alta
25,II_Id,360,4226,0.0852,Media
33,ISC_Geometry,360,4226,0.0852,Media
17,AI_Civico,258,4226,0.0611,Media
14,AI_Subalterno,218,4226,0.0516,Media
19,AI_Piano,174,4226,0.0412,Media
35,OV_Id_ottimo,141,4226,0.0334,Media
37,OV_IdZona_normale,137,4226,0.0324,Media
38,OV_IdZona_ottimo,106,4226,0.0251,Media
12,AI_Foglio,58,4226,0.0137,Media
52,PC_FoglioAgenzia,58,4226,0.0137,Media
50,OZ_LinkZona,13,4226,0.0031,Bassa
15,AI_ZonaOmi,13,4226,0.0031,Bassa
51,OZ_Zona,13,4226,0.0031,Bassa
39,OV_IdZona_scadente,12,4226,0.0028,Bassa
0,A_Semestre,12,4226,0.0028,Bassa
36,OV_Id_scadente,12,4226,0.0028,Bassa
9,AI_IdCategoriaCatastale,9,4226,0.0021,Bassa
21,AI_IdTipologiaEdilizia,7,4226,0.0017,Bassa
3,A_IdDecodificaAtto,6,4226,0.0014,Bassa
2,A_IdTipologiaAtto,4,4226,0.0009,Bassa
40,OV_IdTipologiaEdilizia_ottimo,4,4226,0.0009,Bassa
8,AI_IdSettoreMercato,3,4226,0.0007,Bassa
24,AI_VisuraParseMutazioniSoggettiveErrore,3,4226,0.0007,Bassa
6,A_VenditoriEredita,2,4226,0.0005,Bassa
5,A_IdTipoConsistenza,2,4226,0.0005,Bassa
48,OV_ValoreLocazioneSup_normale,2,4226,0.0005,Bassa
49,OV_ValoreLocazioneSup_ottimo,2,4226,0.0005,Bassa
20,AI_ConsistenzaUm,2,4226,0.0005,Bassa
10,AI_IdComune,1,4226,0.0002,Bassa
23,AI_VisuraErrore,1,4226,0.0002,Bassa
1,A_IdConservatoria,1,4226,0.0002,Bassa
44,OV_Stato_scadente,1,4226,0.0002,Bassa
28,II_CODPRO,1,4226,0.0002,Bassa
26,II_CODREG,1,4226,0.0002,Bassa
27,II_REGIONE,1,4226,0.0002,Bassa
32,II_COM_ASC1,1,4226,0.0002,Bassa
31,II_PROCOM,1,4226,0.0002,Bassa
30,II_CODCOM,1,4226,0.0002,Bassa
29,II_PROVINCIA,1,4226,0.0002,Bassa
46,OV_ValoreMercatoSup_ottimo,1,4226,0.0002,Bassa
43,OV_Stato_ottimo,1,4226,0.0002,Bassa
42,OV_Stato_normale,1,4226,0.0002,Bassa
41,OV_IdTipologiaEdilizia_scadente,1,4226,0.0002,Bassa
47,OV_ValoreMercatoSup_scadente,1,4226,0.0002,Bassa
45,OV_ValoreMercatoSup_normale,1,4226,0.0002,Bassa
53,PC_Sezione,1,4226,0.0002,Bassa
11,AI_SezioneAmministrativa,0,4226,0.0,Bassa
