Colonna,Correlazione,Correlazione_Assoluta
AI_SuperficieVisuraTotale,0.6906,0.6906
AI_Superficie,0.6906,0.6906
AI_SuperficieVisuraTotaleAttuale,0.6856,0.6856
AI_SuperficieVisuraTotaleE,0.6824,0.6824
AI_Rendita,0.6791,0.6791
AI_SuperficieVisuraTotaleEAttuale,0.6763,0.6763
AI_SuperficieCalcolata,0.6288,0.6288
OV_ValoreMercatoMin_normale,0.2642,0.2642
II_ST22,-0.2614,0.2614
OV_ValoreMercatoMax_normale,0.2594,0.2594
II_ST21,-0.259,0.259
II_ST2_B,-0.2579,0.2579
II_ST19,-0.2568,0.2568
II_ST1,-0.2553,0.2553
II_ST29,-0.2539,0.2539
II_ST5,-0.249,0.249
II_ST4,-0.2481,0.2481
II_ST23,-0.2473,0.2473
II_ST31,-0.2428,0.2428
II_ST28,-0.24,0.24
II_ST20,-0.2396,0.2396
II_ST2,-0.2383,0.2383
OV_ValoreMercatoMax_ottimo,0.2367,0.2367
II_ST25,-0.2366,0.2366
II_ST33,-0.2324,0.2324
II_ST3,-0.2283,0.2283
II_ST32,-0.2259,0.2259
II_ST26,-0.2251,0.2251
OV_ValoreMercatoMin_ottimo,0.2247,0.2247
OV_ValoreLocazioneMin_normale,0.2067,0.2067
AI_ConsistenzaValore,0.2051,0.2051
A_TotaleImmobili,0.2031,0.2031
II_E3,0.1991,0.1991
ISC_Edi21,0.1991,0.1991
II_PF8,-0.1971,0.1971
POI_lodging_count,0.1952,0.1952
POI_shopping_mall_count,0.1844,0.1844
POI_transit_station_count,-0.1695,0.1695
OV_ValoreLocazioneMax_normale,0.1677,0.1677
POI_tourist_attraction_count,0.1658,0.1658
II_ST18,-0.1607,0.1607
InZTL,0.1593,0.1593
II_ST24,-0.1572,0.1572
II_ST16,-0.1466,0.1466
ISC_Loc21Id,-0.145,0.145
A_AcquirentiCount,0.1396,0.1396
II_ST30,-0.1388,0.1388
II_PF3,-0.135,0.135
POI_pharmacy_count,0.1304,0.1304
II_P96,-0.1287,0.1287
POI_cafe_count,0.1281,0.1281
POI_restaurant_count,0.1274,0.1274
II_ST27,-0.1273,0.1273
II_P82,-0.1272,0.1272
II_P86,-0.1223,0.1223
II_P98,-0.1205,0.1205
II_P29,-0.1163,0.1163
PC_IdQuartiere,0.1156,0.1156
II_ST17,-0.1126,0.1126
A_EtaMediaVenditori,-0.1125,0.1125
II_IT9,-0.1118,0.1118
AI_IdParticellaCatastale,0.1105,0.1105
POI_supermarket_count,0.1103,0.1103
POI_university_count,0.1078,0.1078
PC_Area,-0.1073,0.1073
II_P97,-0.105,0.105
II_IT3,-0.1048,0.1048
II_P88,-0.1045,0.1045
II_P87,-0.0998,0.0998
ISC_Abi21,-0.099,0.099
II_A8,-0.099,0.099
II_P91,-0.0984,0.0984
POI_gas_station_count,-0.0975,0.0975
PC_Perimetro,-0.097,0.097
II_P27,-0.0957,0.0957
II_P80,-0.0957,0.0957
II_P72,-0.0951,0.0951
PC_ParticellaNumerica,0.0947,0.0947
II_P78,-0.0928,0.0928
II_P71,-0.0922,0.0922
II_A3,-0.0922,0.0922
II_IT6,-0.0904,0.0904
II_P44,-0.0903,0.0903
AI_Longitudine,0.0902,0.0902
II_A2,-0.0889,0.0889
II_P45,-0.0884,0.0884
ISC_Fam21,-0.0864,0.0864
II_PF1,-0.0864,0.0864
II_P43,-0.0856,0.0856
II_P93,-0.0845,0.0845
II_P19,-0.0844,0.0844
II_P36,-0.0819,0.0819
II_P92,-0.0808,0.0808
POI_gym_count,0.0795,0.0795
II_PF4,-0.0794,0.0794
II_P28,-0.0761,0.0761
POI_park_count,0.075,0.075
II_IT7,0.0737,0.0737
II_P25,-0.0728,0.0728
A_AnnoStipula,0.0716,0.0716
A_Anno,0.0716,0.0716
II_P35,-0.068,0.068
II_P85,-0.0668,0.0668
ISC_ShapeArea,0.0655,0.0655
II_P3,-0.0643,0.0643
POI_school_count,0.0626,0.0626
II_IT1,0.0617,0.0617
POI_bus_station_count,0.0613,0.0613
II_P81,-0.0603,0.0603
II_P83,-0.0601,0.0601
II_P1,-0.0584,0.0584
ISC_Pop21,-0.0584,0.0584
