AI_ZonaOmi,count,mean,median,std,min,max,cv
B1,1252,93594.07,65000.0,109655.36,1200.0,1483525.92,117.16
C4,809,54657.31,52200.0,46136.08,705.23,322540.22,84.41
D2,598,82479.64,56747.67,98325.81,270.18,1311003.46,119.21
D1,483,38208.02,26415.18,34954.0,1687.0,254750.98,91.48
D3,296,40986.36,28192.71,41763.69,1500.0,326163.87,101.9
C2,237,47663.99,42128.96,36558.5,244.65,181589.96,76.7
C5,206,50329.5,50000.0,36062.81,4000.0,327262.96,71.65
C3,132,45741.89,37282.0,38082.17,1169.94,202312.69,83.25
E3,59,86365.49,36537.0,79293.93,6462.79,274431.22,91.81
E2,44,53483.36,31228.06,55267.57,6846.85,221332.65,103.34
C6,35,86940.6,60345.38,86688.19,7381.29,417220.71,99.71
E1,31,55658.06,32219.45,57088.7,5000.0,204289.22,102.57
R1,4,79375.0,26250.0,113875.41,15000.0,250000.0,143.47
