,Totale_Null,Percentuale_Null,Tipo
A_AnnoStipula,0,0.0,int64
A_MeseStipula,0,0.0,int64
A_Anno,0,0.0,int64
A_Semestre,0,0.0,object
A_RegPart,2527,44.08,float64
A_IdConservatoria,0,0.0,object
A_IdTipologiaAtto,0,0.0,object
A_IdDecodificaAtto,0,0.0,object
A_TotaleImmobili,0,0.0,int64
A_Numero,0,0.0,int64
A_Codice,2527,44.08,object
A_IdTipoConsistenza,0,0.0,object
A_AcquirentiCount,0,0.0,int64
A_VenditoriCount,0,0.0,int64
A_DatiCatastaliCompleti,0,0.0,bool
A_EtaMediaAcquirenti,622,10.85,float64
A_EtaMediaVenditori,1463,25.52,float64
A_AcquirentiVenditoriStessoCognome,0,0.0,bool
A_VenditoriEredita,105,1.83,object
A_ImmobiliPrincipaliConSuperficieValorizzata,0,0.0,bool
AI_Id,0,0.0,object
AI_IdSettoreMercato,0,0.0,object
AI_IdCategoriaCatastale,0,0.0,object
AI_Numero,0,0.0,int64
AI_IdComune,0,0.0,object
AI_SezioneAmministrativa,5733,100.0,object
AI_Foglio,0,0.0,object
AI_Particella,0,0.0,object
AI_Subalterno,2628,45.84,object
AI_ZonaOmi,51,0.89,object
AI_Via,58,1.01,object
AI_Civico,391,6.82,object
AI_Latitudine,0,0.0,float64
AI_Longitudine,0,0.0,float64
AI_QuotaFavore,0,0.0,int64
AI_Posizione,0,0.0,object
AI_Piano,2929,51.09,object
AI_Rendita,2913,50.81,float64
AI_ConsistenzaValore,0,0.0,float64
AI_ConsistenzaUm,0,0.0,object
AI_SuperficieCalcolata,3,0.05,float64
AI_IdTipologiaEdilizia,0,0.0,object
AI_ParticellaAttuale,0,0.0,object
AI_IdParticellaCatastale,0,0.0,int64
AI_VisuraScaricata,0,0.0,bool
AI_VisuraErrore,5725,99.86,object
AI_VisuraParseMutazioniSoggettive,0,0.0,bool
AI_VisuraParseMutazioniSoggettiveErrore,5730,99.95,object
AI_SuperficieVisuraTotale,2580,45.0,float64
AI_SuperficieVisuraTotaleE,4113,71.74,float64
AI_SuperficieVisuraTotaleAttuale,570,9.94,float64
AI_SuperficieVisuraTotaleEAttuale,570,9.94,float64
AI_Superficie,0,0.0,float64
AI_IdTipologiaEdiliziaAlternativa,5082,88.64,object
AI_TipologiaEdiliziaAlternativaCoefficiente,5082,88.64,float64
II_Id,0,0.0,object
II_CODREG,0,0.0,object
II_REGIONE,0,0.0,object
II_CODPRO,0,0.0,object
II_PROVINCIA,0,0.0,object
II_CODCOM,0,0.0,object
II_PROCOM,0,0.0,object
II_COM_ASC1,0,0.0,object
II_P1,0,0.0,float64
II_P2,0,0.0,float64
II_P3,0,0.0,float64
II_P14,0,0.0,float64
II_P15,0,0.0,float64
II_P16,0,0.0,float64
II_P17,0,0.0,float64
II_P18,0,0.0,float64
II_P19,0,0.0,float64
II_P20,0,0.0,float64
II_P21,0,0.0,float64
II_P22,0,0.0,float64
II_P23,0,0.0,float64
II_P24,0,0.0,float64
II_P25,0,0.0,float64
II_P26,0,0.0,float64
II_P27,0,0.0,float64
II_P28,0,0.0,float64
II_P29,0,0.0,float64
II_P30,0,0.0,float64
II_P31,0,0.0,float64
II_P32,0,0.0,float64
II_P33,0,0.0,float64
II_P34,0,0.0,float64
II_P35,0,0.0,float64
II_P36,0,0.0,float64
II_P37,0,0.0,float64
II_P38,0,0.0,float64
II_P39,0,0.0,float64
II_P40,0,0.0,float64
II_P41,0,0.0,float64
II_P42,0,0.0,float64
II_P43,0,0.0,float64
II_P44,0,0.0,float64
II_P45,0,0.0,float64
II_P67,0,0.0,float64
II_P68,0,0.0,float64
II_P69,0,0.0,float64
II_P70,0,0.0,float64
II_P71,0,0.0,float64
II_P72,0,0.0,float64
II_P73,0,0.0,float64
II_P74,0,0.0,float64
II_P75,0,0.0,float64
II_P76,0,0.0,float64
II_P77,0,0.0,float64
II_P78,0,0.0,float64
II_P79,0,0.0,float64
II_P80,0,0.0,float64
