AI_ZonaOmi,count,mean,median,std,min,max,cv
B1,1777,86527.0,59310.0,106578.0,360.0,1483526.0,123.17
C4,1094,50160.0,44751.0,46798.0,179.0,322540.0,93.3
D2,714,75367.0,49006.0,94435.0,270.0,1311003.0,125.3
D1,553,36768.0,25000.0,34577.0,396.0,254751.0,94.04
C2,385,38037.0,17871.0,37472.0,245.0,181590.0,98.51
D3,350,36969.0,24986.0,40199.0,316.0,326164.0,108.74
C5,276,46355.0,45000.0,37649.0,1038.0,327263.0,81.22
C3,177,41941.0,36012.0,39446.0,627.0,211760.0,94.05
C6,157,74333.0,36742.0,98808.0,1033.0,582204.0,132.93
E3,53,87897.0,36537.0,80824.0,6463.0,274431.0,91.95
E2,49,55730.0,33500.0,54453.0,6847.0,221333.0,97.71
E1,37,51578.0,18505.0,54742.0,1267.0,204289.0,106.13
R1,8,61551.0,26250.0,81237.0,5891.0,250000.0,131.98
