Feature,Correlation,Abs_Correlation
C2_TPC_POTENZA_NOMINALE_1,-1.0,1.0
C2_NM_EP_GL_NREN_RAGGIUNG_5,0.8896262900036199,0.8896262900036199
AI_SuperficieVisuraTotaleAttuale,0.673312585857022,0.673312585857022
AI_Superficie,0.6683313847505084,0.6683313847505084
AI_SuperficieVisuraTotaleEAttuale,0.6654042306024255,0.6654042306024255
C2_PFR_ANNO_INSTALLAZIONE_2,0.6578201397481351,0.6578201397481351
AI_SuperficieCalcolata,0.6539569154477566,0.6539569154477566
AI_SuperficieVisuraTotale,0.6322231498301003,0.6322231498301003
C2_NM_TEMPO_RITORNO_INVESTIM_5,-0.6074927922729604,0.6074927922729604
C2_DS_CLASSE_RAGGIUNGIBILE_5,0.590990888742803,0.590990888742803
C2_SUPERF_UTILE_RISCALDATA,0.5451800133609245,0.5451800133609245
OV_ValoreMercatoMin_ottimo,0.5393127821283875,0.5393127821283875
AI_Rendita,0.5252702899045394,0.5252702899045394
AI_ConsistenzaValore,0.5209995006193834,0.5209995006193834
OV_ValoreMercatoMax_ottimo,0.516153001396636,0.516153001396636
AI_SuperficieVisuraTotaleE,0.5160098151719393,0.5160098151719393
AI_Prezzo_MQ,0.4969495808474954,0.4969495808474954
C2_NM_EP_GL_NREN_RAGGIUNG_4,0.4844942346075991,0.4844942346075991
C2_VOLUME_LORDO_RISCALDATO,0.4819335426879828,0.4819335426879828
C2_CI_ANNO_INSTALLAZIONE_2,0.46678579681739624,0.46678579681739624
C2_VOLUME_LORDO_RAFFRESCATO,0.4403168628630406,0.4403168628630406
C2_SUPERF_UTILE_RAFFRESCATA,0.43669100989606613,0.43669100989606613
C2_SUPERFICIE_DISPERDENTE,0.41741488918916503,0.41741488918916503
C2_VM_POTENZA_NOMINALE,-0.3474681354109501,0.3474681354109501
C2_DS_CLASSE_RAGGIUNGIBILE_4,0.33320051362619374,0.33320051362619374
C2_CE_POTENZA_NOMINALE_2,-0.31919509218291464,0.31919509218291464
