Feature,Unique,Samples,Missing_Pct,Strategy
AI_Id,3026,3026,0.0,Frequency
AI_Posizione,1211,3026,0.0,Frequency
PC_PoligonoGeoJson,1022,3026,0.0,Frequency
PC_Poligono,1022,3026,0.0,Frequency
PC_PoligonoMetrico,1022,3026,0.0,Frequency
PC_BoundingBox,1022,3026,0.0,Frequency
PC_Isodistanza,1022,3026,0.0,Frequency
PC_Centroide,1022,3026,0.0,Frequency
PC_PuntoInterno,1022,3026,0.0,Frequency
AI_Via,571,2968,1.9167217448777263,Frequency
AI_Particella,563,3026,0.0,Frequency
AI_ParticellaAttuale,561,3026,0.0,Frequency
A_Codice,364,640,78.84996695307336,Frequency
ISC_Geometry,311,3026,0.0,Frequency
II_Id,311,3026,0.0,Frequency
C2_IdAttoImmobile,246,246,91.87045604758758,Frequency
C2_Y,234,236,92.2009253139458,Frequency
OV_Id_normale,226,2645,12.590879048248512,Frequency
C2_INDIRIZZO,221,246,91.87045604758758,Frequency
AI_Civico,196,2709,10.47587574355585,Frequency
AI_Subalterno,137,600,80.17184401850628,Frequency
C2_NM_EP_GL_NREN_RAGGIUNG_7,137,144,95.2412425644415,Frequency
C1_IdAttoImmobile,100,100,96.69530733641771,Frequency
C1_CODICE_IDENTIFICATIVO_PRATICA,94,100,96.69530733641771,Frequency
C2_SUBALTERNO,86,246,91.87045604758758,Frequency
C1_INDIRIZZO,83,100,96.69530733641771,Frequency
AI_Piano,77,558,81.55981493721085,Frequency
C1_PARTICELLA,74,100,96.69530733641771,Frequency
C1_POTENZA_GENERATORE,72,100,96.69530733641771,Frequency
OZ_Id,61,3026,0.0,Frequency
OV_IdZona_normale,61,2645,12.590879048248512,Frequency
C1_SUBALTERNO,59,100,96.69530733641771,Frequency
OV_Id_ottimo,51,885,70.75346992729676,Frequency
AI_Foglio,47,3026,0.0,Target
PC_FoglioAgenzia,47,3026,0.0,Target
OV_IdZona_ottimo,45,885,70.75346992729676,Target
C2_ANNO_COSTRUZIONE,38,246,91.87045604758758,Target
C2_FOGLIO,36,246,91.87045604758758,Target
C1_FOGLIO,32,100,96.69530733641771,Target
C2_PIANO,31,183,93.95241242564441,Target
C1_ANNO_COSTRUZIONE,18,100,96.69530733641771,Target
C1_TIPOLOGIA_GENERATORE,17,100,96.69530733641771,Target
C1_NUMERO_RICAMBI_ORARI,12,100,96.69530733641771,Target
C2_RIQ_CLASSE_RAGG,10,144,95.2412425644415,OneHot
OZ_LinkZona,9,3026,0.0,OneHot
OZ_Zona,9,3026,0.0,OneHot
OZ_CodiceZona,9,3026,0.0,OneHot
C2_CLASSE_ENERGETICA,9,246,91.87045604758758,OneHot
C1_MOTIVAZIONE_APE,9,100,96.69530733641771,OneHot
AI_ZonaOmi,9,3026,0.0,OneHot
